source,group,id,name,perfmon,zabbix_official,zabbix_perf_counter_en,jsonpath,description
os,Диск,os.disk.idle,% Idle Time,\PhysicalDisk(_Total)\% Idle Time,"perf_counter_en[""\\PhysicalDisk({#DEVNAME})\\% Idle Time"",60]","perf_counter_en[""\PhysicalDisk(_Total)\% Idle Time"",60]","$.values[""os.disk.idle""]",Доля времени простоя диска. Утилизация ≈ 100 − Idle. Низкий idle — диск занят.
os,Диск,os.disk.avg_read_sec,Avg. Disk sec/Read,\PhysicalDisk(_Total)\Avg. Disk sec/Read,"perf_counter_en[""\\PhysicalDisk({#DEVNAME})\\Avg. Disk sec/Read"",60]","perf_counter_en[""\PhysicalDisk(_Total)\Avg. Disk sec/Read"",60]","$.values[""os.disk.avg_read_sec""]","Средняя задержка чтения. Для SSD обычно < 5–10 мс, для SQL log — ещё ниже."
os,Диск,os.disk.avg_write_sec,Avg. Disk sec/Write,\PhysicalDisk(_Total)\Avg. Disk sec/Write,"perf_counter_en[""\\PhysicalDisk({#DEVNAME})\\Avg. Disk sec/Write"",60]","perf_counter_en[""\PhysicalDisk(_Total)\Avg. Disk sec/Write"",60]","$.values[""os.disk.avg_write_sec""]",Средняя задержка записи. Критично для transaction log SQL Server.
mssql,Buffer Manager,mssql.buffer_cache_hit_ratio,Buffer cache hit ratio,\SQLServer:Buffer Manager\Buffer cache hit ratio,"mssql.buffer_cache_hit_ratio"",","perf_counter_en[""\SQLServer:Buffer Manager\Buffer cache hit ratio""]","$.values[""mssql.buffer_cache_hit_ratio""]","Доля страниц, найденных в buffer pool без чтения с диска. На здоровом OLTP обычно > 98–99%."
mssql,Buffer Manager,mssql.page_life_expectancy,Page life expectancy,\SQLServer:Buffer Manager\Page life expectancy,"mssql.page_life_expectancy"",","perf_counter_en[""\SQLServer:Buffer Manager\Page life expectancy""]","$.values[""mssql.page_life_expectancy""]","Сколько секунд страница живёт в buffer pool. Смотрите резкие провалы относительно своего baseline, а не фиксированные 300 с."
mssql,Buffer Manager,mssql.lazy_writes_sec,Lazy writes/sec,\SQLServer:Buffer Manager\Lazy writes/sec,"mssql.lazy_writes_sec.rate"",","perf_counter_en[""\SQLServer:Buffer Manager\Lazy writes/sec""]","$.values[""mssql.lazy_writes_sec""]","Lazy writer сбрасывает грязные страницы, чтобы освободить буферы. В норме около нуля; устойчиво > 20 — давление памяти."
mssql,Buffer Manager,mssql.checkpoint_pages_sec,Checkpoint pages/sec,\SQLServer:Buffer Manager\Checkpoint pages/sec,"mssql.checkpoint_pages_sec.rate"",","perf_counter_en[""\SQLServer:Buffer Manager\Checkpoint pages/sec""]","$.values[""mssql.checkpoint_pages_sec""]","Страницы, сбрасываемые checkpoint. Всплески нормальны; постоянный высокий фон — много грязных страниц."
mssql,Buffer Manager,mssql.page_reads_sec,Page reads/sec,\SQLServer:Buffer Manager\Page reads/sec,"mssql.page_reads_sec.rate"",","perf_counter_en[""\SQLServer:Buffer Manager\Page reads/sec""]","$.values[""mssql.page_reads_sec""]",Физические чтения страниц БД. Высокое значение при низком hit ratio — нехватка памяти или плохие планы.
mssql,Buffer Manager,mssql.page_writes_sec,Page writes/sec,\SQLServer:Buffer Manager\Page writes/sec,"mssql.page_writes_sec.rate"",","perf_counter_en[""\SQLServer:Buffer Manager\Page writes/sec""]","$.values[""mssql.page_writes_sec""]",Физические записи страниц БД.
mssql,Buffer Manager,mssql.free_list_stalls_sec,Free list stalls/sec,\SQLServer:Buffer Manager\Free list stalls/sec,"mssql.free_list_stalls_sec.rate"",","perf_counter_en[""\SQLServer:Buffer Manager\Free list stalls/sec""]","$.values[""mssql.free_list_stalls_sec""]","Запросы, которые ждали свободную страницу в buffer pool. Любое устойчивое значение > 0 — нехватка буферов."
mssql,SQL Statistics,mssql.batch_requests_sec,Batch Requests/sec,\SQLServer:SQL Statistics\Batch Requests/sec,"mssql.batch_requests_sec.rate"",","perf_counter_en[""\SQLServer:SQL Statistics\Batch Requests/sec""]","$.values[""mssql.batch_requests_sec""]",Пакетов T-SQL в секунду. Главный индикатор полезной работы инстанса. Используйте как знаменатель для компиляций и сканов.
mssql,SQL Statistics,mssql.sql_compilations_sec,SQL Compilations/sec,\SQLServer:SQL Statistics\SQL Compilations/sec,"mssql.sql_compilations_sec.rate"",","perf_counter_en[""\SQLServer:SQL Statistics\SQL Compilations/sec""]","$.values[""mssql.sql_compilations_sec""]",Компиляции планов. Высокая доля к Batch Requests — слишком много ad hoc.
mssql,SQL Statistics,mssql.sql_recompilations_sec,SQL Re-Compilations/sec,\SQLServer:SQL Statistics\SQL Re-Compilations/sec,"mssql.sql_recompilations_sec.rate"",","perf_counter_en[""\SQLServer:SQL Statistics\SQL Re-Compilations/sec""]","$.values[""mssql.sql_recompilations_sec""]",Перекомпиляции. Должны быть близки к нулю относительно compilations.
mssql,General Statistics,mssql.user_connections,User Connections,\SQLServer:General Statistics\User Connections,"mssql.user_connections"",","perf_counter_en[""\SQLServer:General Statistics\User Connections""]","$.values[""mssql.user_connections""]",Текущие пользовательские соединения. Рост без пула — риск исчерпания worker'ов.
mssql,General Statistics,mssql.processes_blocked,Processes blocked,\SQLServer:General Statistics\Processes blocked,"mssql.processes_blocked"",","perf_counter_en[""\SQLServer:General Statistics\Processes blocked""]","$.values[""mssql.processes_blocked""]",Сейчас заблокированные процессы. Ноль — блокировок нет; любое устойчивое значение — разбирать wait/blocking.
mssql,General Statistics,mssql.logins_sec,Logins/sec,\SQLServer:General Statistics\Logins/sec,"mssql.logins_sec.rate"",","perf_counter_en[""\SQLServer:General Statistics\Logins/sec""]","$.values[""mssql.logins_sec""]",Новые логины в секунду (без pooled reuse). Высокое значение — слабый connection pooling.
mssql,Memory Manager,mssql.total_server_memory_kb,Total Server Memory,\SQLServer:Memory Manager\Total Server Memory (KB),"mssql.total_server_memory"",","perf_counter_en[""\SQLServer:Memory Manager\Total Server Memory (KB)""]","$.values[""mssql.total_server_memory_kb""]","Память, которую SQL Server уже взял. Сравнивайте с Target: если Total << Target, инстанс ещё разгоняется или память отбирают."
mssql,Memory Manager,mssql.target_server_memory_kb,Target Server Memory,\SQLServer:Memory Manager\Target Server Memory (KB),"mssql.target_server_memory"",","perf_counter_en[""\SQLServer:Memory Manager\Target Server Memory (KB)""]","$.values[""mssql.target_server_memory_kb""]",Сколько памяти SQL Server хочет потребить.
mssql,Memory Manager,mssql.memory_grants_pending,Memory Grants Pending,\SQLServer:Memory Manager\Memory Grants Pending,"mssql.memory_grants_pending"",","perf_counter_en[""\SQLServer:Memory Manager\Memory Grants Pending""]","$.values[""mssql.memory_grants_pending""]","Запросы, ждущие workspace memory (hash/sort). Любое значение > 0 — нехватка памяти запросов."
mssql,Locks,mssql.lock_waits_sec,Lock Waits/sec,\SQLServer:Locks(_Total)\Lock Waits/sec,"mssql.lock_waits_sec.rate"",","perf_counter_en[""\SQLServer:Locks(_Total)\Lock Waits/sec""]","$.values[""mssql.lock_waits_sec""]","Запросы блокировок, которые ждали. Ноль — блокировок нет."
mssql,Locks,mssql.deadlocks_sec,Number of Deadlocks/sec,\SQLServer:Locks(_Total)\Number of Deadlocks/sec,"mssql.number_deadlocks_sec.rate"",","perf_counter_en[""\SQLServer:Locks(_Total)\Number of Deadlocks/sec""]","$.values[""mssql.deadlocks_sec""]",Взаимоблокировки. Должны быть нулём.
mssql,Access Methods,mssql.full_scans_sec,Full Scans/sec,\SQLServer:Access Methods\Full Scans/sec,"mssql.full_scans_sec.rate"",","perf_counter_en[""\SQLServer:Access Methods\Full Scans/sec""]","$.values[""mssql.full_scans_sec""]",Полные сканы таблиц/индексов. Для OLTP сравнивайте с Index Searches/sec (ориентир 1 скан на 1000 поисков).
mssql,Access Methods,mssql.index_searches_sec,Index Searches/sec,\SQLServer:Access Methods\Index Searches/sec,"mssql.index_searches_sec.rate"",","perf_counter_en[""\SQLServer:Access Methods\Index Searches/sec""]","$.values[""mssql.index_searches_sec""]",Поиски по индексу. Предпочтительнее full scan.
mssql,Access Methods,mssql.page_splits_sec,Page Splits/sec,\SQLServer:Access Methods\Page Splits/sec,"mssql.page_splits_sec.rate"",","perf_counter_en[""\SQLServer:Access Methods\Page Splits/sec""]","$.values[""mssql.page_splits_sec""]","Разбиения страниц индекса при вставках. Высокое значение — фрагментация, fillfactor."
mssql,Latches,mssql.latch_waits_sec,Latch Waits/sec,\SQLServer:Latches\Latch Waits/sec,"mssql.latch_waits_sec.rate"",","perf_counter_en[""\SQLServer:Latches\Latch Waits/sec""]","$.values[""mssql.latch_waits_sec""]",Ожидания latch (лёгкие блокировки памяти). Рост вместе с I/O — давление на buffer pool.
